date,delay,distance,origin,destination
01011245,6,602,ABE,ATL
01020600,-8,369,ABE,DTW
01021245,-2,602,ABE,ATL
01020605,-4,602,ABE,ATL
01031245,-4,602,ABE,ATL
01030605,0,602,ABE,ATL
01041243,10,602,ABE,ATL
01040605,28,602,ABE,ATL
01051245,88,602,ABE,ATL
01050605,9,602,ABE,ATL
01061215,-6,602,ABE,ATL
01061725,69,602,ABE,ATL
01061230,0,369,ABE,DTW
01060625,-3,602,ABE,ATL
01070600,0,369,ABE,DTW
01071725,0,602,ABE,ATL
01071230,0,369,ABE,DTW
01070625,0,602,ABE,ATL
01071219,0,569,ABE,ORD
01080600,0,369,ABE,DTW
01081230,33,369,ABE,DTW
01080625,1,602,ABE,ATL
01080607,5,569,ABE,ORD
01081219,54,569,ABE,ORD
01091215,43,602,ABE,ATL
01090600,151,369,ABE,DTW
01091725,0,602,ABE,ATL
01091230,-4,369,ABE,DTW
01090625,8,602,ABE,ATL
01091219,83,569,ABE,ORD
01101215,-5,602,ABE,ATL
01100600,-5,369,ABE,DTW
01101725,7,602,ABE,ATL
01101230,-8,369,ABE,DTW
01100625,52,602,ABE,ATL
01101219,0,569,ABE,ORD
01111215,127,602,ABE,ATL
01110600,-9,369,ABE,DTW
01110625,-4,602,ABE,ATL
01121215,-5,602,ABE,ATL
01121725,-1,602,ABE,ATL
01131215,14,602,ABE,ATL
01130600,-7,369,ABE,DTW
01131725,-6,602,ABE,ATL
01131230,-13,369,ABE,DTW
01130625,29,602,ABE,ATL
01131219,-8,569,ABE,ORD
01140600,-9,369,ABE,DTW
01141725,-9,602,ABE,ATL
01141230,-8,369,ABE,DTW
01140625,-5,602,ABE,ATL
01141219,-10,569,ABE,ORD
01150600,0,369,ABE,DTW
01151725,-6,602,ABE,ATL
01151230,0,369,ABE,DTW
01150625,0,602,ABE,ATL
01150607,0,569,ABE,ORD
01151219,0,569,ABE,ORD
01161215,-10,602,ABE,ATL
01160600,-1,369,ABE,DTW
01161725,-6,602,ABE,ATL
01161230,-7,369,ABE,DTW
01160625,-4,602,ABE,ATL
01161219,68,569,ABE,ORD
01171215,-8,602,ABE,ATL
01170600,-5,369,ABE,DTW
01171725,5,602,ABE,ATL
01171230,-10,369,ABE,DTW
01170625,-6,602,ABE,ATL
01171219,-10,569,ABE,ORD
01181215,-12,602,ABE,ATL
01180600,-13,369,ABE,DTW
01180625,0,602,ABE,ATL
01191215,-16,602,ABE,ATL
01191725,-5,602,ABE,ATL
01201215,-8,602,ABE,ATL
01201725,-5,602,ABE,ATL
01201230,-11,369,ABE,DTW
01200625,-7,602,ABE,ATL
01201219,-6,569,ABE,ORD
01210600,89,369,ABE,DTW
01211725,0,602,ABE,ATL
01211230,44,369,ABE,DTW
01210625,-6,602,ABE,ATL
01211219,9,569,ABE,ORD
01220600,80,369,ABE,DTW
01221230,-5,369,ABE,DTW
01220625,333,602,ABE,ATL
01220607,219,569,ABE,ORD
01221219,15,569,ABE,ORD
01231215,-12,602,ABE,ATL
01230600,-3,369,ABE,DTW
01231725,180,602,ABE,ATL
01231230,-5,369,ABE,DTW
01230625,-8,602,ABE,ATL
01231219,-13,569,ABE,ORD
01241215,-11,602,ABE,ATL
01240600,-3,369,ABE,DTW
01241725,2,602,ABE,ATL
01241230,-5,369,ABE,DTW
01240625,-3,602,ABE,ATL
01241219,0,569,ABE,ORD
01251215,2,602,ABE,ATL
01250600,-4,369,ABE,DTW
01250625,-4,602,ABE,ATL
01261215,1,602,ABE,ATL
01261725,7,602,ABE,ATL
01271215,-4,602,ABE,ATL
01270600,-9,369,ABE,DTW
01271725,-8,602,ABE,ATL
01271230,-7,369,ABE,DTW
01270625,-1,602,ABE,ATL
01271219,0,569,ABE,ORD
01280600,-6,369,ABE,DTW
01281725,-3,602,ABE,ATL
01281230,-8,369,ABE,DTW
01280625,-4,602,ABE,ATL
01281219,0,569,ABE,ORD
01290600,0,369,ABE,DTW
01291230,0,369,ABE,DTW
01290625,4,602,ABE,ATL
01290607,92,569,ABE,ORD
01291219,-10,569,ABE,ORD
01301215,0,602,ABE,ATL
01300600,-1,369,ABE,DTW
01301725,10,602,ABE,ATL
01301230,0,369,ABE,DTW
01300625,0,602,ABE,ATL
01301219,-11,569,ABE,ORD
01311215,1,602,ABE,ATL
01310600,-4,369,ABE,DTW
01311725,25,602,ABE,ATL
01311230,-4,369,ABE,DTW
01310625,-5,602,ABE,ATL
01311219,24,569,ABE,ORD
01011400,26,137,ABI,DFW
01011525,-11,137,ABI,DFW
01021400,-5,137,ABI,DFW
01021525,47,137,ABI,DFW
01031400,-12,137,ABI,DFW
01031525,40,137,ABI,DFW
01041400,-12,137,ABI,DFW
01041525,3,137,ABI,DFW
01051400,-5,137,ABI,DFW
01051525,-5,137,ABI,DFW
01061400,2,137,ABI,DFW
01061525,22,137,ABI,DFW
01071400,-12,137,ABI,DFW
01071525,-15,137,ABI,DFW
01081525,21,137,ABI,DFW
01091525,-8,137,ABI,DFW
01101525,4,137,ABI,DFW
01111525,-23,137,ABI,DFW
01121525,-9,137,ABI,DFW
01131525,-12,137,ABI,DFW
01141525,-5,137,ABI,DFW
01151525,-17,137,ABI,DFW
01161525,2,137,ABI,DFW
01171525,-9,137,ABI,DFW
01181525,-5,137,ABI,DFW
01191525,-3,137,ABI,DFW
01201525,-6,137,ABI,DFW
01211525,-17,137,ABI,DFW
01221525,40,137,ABI,DFW
01231525,-12,137,ABI,DFW
01241525,21,137,ABI,DFW
01251525,-6,137,ABI,DFW
01261525,-12,137,ABI,DFW
01271525,-13,137,ABI,DFW
01281525,-10,137,ABI,DFW
01291525,146,137,ABI,DFW
01301525,-13,137,ABI,DFW
01311525,6,137,ABI,DFW
01010925,-9,137,ABI,DFW
01011730,72,137,ABI,DFW
01010700,-5,137,ABI,DFW
01011155,-6,137,ABI,DFW
01010810,62,137,ABI,DFW
01020550,-7,137,ABI,DFW
01020925,7,137,ABI,DFW
01021730,27,137,ABI,DFW
01020700,150,137,ABI,DFW
01021155,0,137,ABI,DFW
01020810,1,137,ABI,DFW
01030550,51,137,ABI,DFW
01030925,-7,137,ABI,DFW
01031730,-18,137,ABI,DFW
01030700,2,137,ABI,DFW
01031155,48,137,ABI,DFW
01030810,-3,137,ABI,DFW
01040925,-7,137,ABI,DFW
01041730,135,137,ABI,DFW
01040700,-3,137,ABI,DFW
01041155,-2,137,ABI,DFW
01040810,-12,137,ABI,DFW
01050550,-8,137,ABI,DFW
01050925,-10,137,ABI,DFW
01051730,-2,137,ABI,DFW
01050700,-6,137,ABI,DFW
01051155,-2,137,ABI,DFW
01050810,-12,137,ABI,DFW
01060550,-8,137,ABI,DFW
01060925,0,137,ABI,DFW
01061730,-7,137,ABI,DFW
01060700,-3,137,ABI,DFW
01061155,-4,137,ABI,DFW
01060810,-8,137,ABI,DFW
01070550,-3,137,ABI,DFW
01070925,62,137,ABI,DFW
01071730,0,137,ABI,DFW
01070700,4,137,ABI,DFW
01071155,10,137,ABI,DFW
01070810,-10,137,ABI,DFW
01080550,-9,137,ABI,DFW
01080925,-11,137,ABI,DFW
